,City,Country,Lat,Lng,Max Temp,Wind Speed,Cloudiness,Humidity,Date
0,Albany,US,42.65,-73.75,84.2,9.62,75,69,1561503928
1,Punta Arenas,CL,-53.16,-70.91,30.0,10.0,92,92,1561504021
2,Atuona,PF,-9.8,-139.03,81.43,17.74,0,75,1561503751
3,Erenhot,CN,43.65,111.97,75.85,6.93,0,43,1561504022
4,Mbini,GQ,1.58,9.62,77.0,4.7,40,94,1561504022
5,Jamestown,AU,-33.21,138.6,55.15,13.31,0,60,1561504022
6,Mataura,NZ,-46.19,168.86,44.01,7.0,35,82,1561504010
7,Busselton,AU,-33.64,115.35,57.0,29.62,0,85,1561504022
8,Ushuaia,AR,-54.81,-68.31,30.2,2.59,40,92,1561503921
9,Airai,TL,-8.93,125.41,74.05,2.82,0,52,1561504023
10,Carutapera,BR,-1.2,-46.02,76.75,6.04,20,88,1561504089
11,Atambua,ID,-9.11,124.89,75.49,15.7,0,68,1561504089
12,Provideniya,RU,64.42,-173.23,48.2,17.9,90,81,1561504089
13,Hobart,AU,-42.88,147.33,43.0,3.36,0,75,1561504016
14,Ahtopol,BG,42.1,27.94,72.0,9.17,20,88,1561504090
15,Takoradi,GH,4.89,-1.75,73.33,3.89,100,95,1561504090
16,Ilulissat,GL,69.22,-51.1,46.4,8.05,75,65,1561503871
17,Lacolle,CA,45.08,-73.37,79.0,6.93,1,69,1561504090
18,Aswan,EG,24.09,32.9,96.8,9.17,0,16,1561504090
19,Vaini,IN,15.34,74.49,78.55,2.95,100,88,1561504090
20,Qasigiannguit,GL,68.82,-51.19,46.4,8.05,75,65,1561504090
21,Hambantota,LK,6.12,81.12,82.51,19.44,100,80,1561504091
22,Bolshaya Sosnova,RU,57.67,54.6,44.35,5.5,0,80,1561504091
23,Rikitea,PF,-23.12,-134.97,72.61,9.75,10,84,1561504091
24,Yellowknife,CA,62.45,-114.38,73.4,6.93,40,31,1561504091
25,Kodiak,US,39.95,-94.76,88.0,13.87,1,51,1561504091
26,Mumford,GH,5.26,-0.76,72.43,3.18,99,98,1561504092
27,Castro,CL,-42.48,-73.76,44.6,16.11,90,100,1561504040
28,Kahului,US,20.89,-156.47,84.2,6.93,40,66,1561504092
29,Puerto Ayora,EC,-0.74,-90.35,77.0,20.8,20,69,1561504092
30,Longyearbyen,NO,78.22,15.63,41.0,10.29,75,75,1561504092
31,Chuy,UY,-33.69,-53.46,47.77,15.77,100,63,1561504092
32,Jiazi,CN,19.61,110.49,80.6,4.47,0,88,1561504093
33,Avera,US,33.19,-82.53,91.4,11.41,1,55,1561504093
34,Port-Gentil,GA,-0.72,8.78,77.0,8.05,40,83,1561504093
35,Alofi,NU,-19.06,-169.92,78.8,14.99,75,74,1561504093
36,Saint-Augustin,FR,44.83,-0.61,73.99,5.82,0,83,1561504093
37,Hermanus,ZA,-34.42,19.24,57.99,10.0,81,90,1561504093
38,Saint-Joseph,FR,43.56,6.97,82.4,2.24,0,69,1561504094
39,Mayo,CA,63.59,-135.9,73.4,2.24,75,31,1561504094
40,Denpasar,ID,-8.65,115.22,77.0,9.17,20,88,1561504021
41,Abha,SA,18.22,42.5,75.2,3.36,40,46,1561504094
42,Vestmannaeyjar,IS,63.44,-20.27,52.45,15.75,65,90,1561504026
43,Vila Franca do Campo,PT,37.72,-25.43,66.2,12.75,40,77,1561504094
44,Chumikan,RU,54.72,135.31,42.73,2.91,100,92,1561504095
45,Tuktoyaktuk,CA,69.44,-133.03,39.2,20.8,90,69,1561504095
46,Chapais,CA,49.78,-74.86,57.2,14.99,90,93,1561504095
47,Minas,UY,-34.38,-55.24,50.0,18.34,40,53,1561504095
48,Agropoli,IT,40.35,15.0,79.0,11.18,0,51,1561504095
49,Avarua,CK,-21.21,-159.78,77.0,13.87,77,61,1561504023
50,Torbay,CA,47.66,-52.73,60.01,4.7,20,71,1561504055
51,Hovd,NO,63.83,10.7,51.01,10.29,20,87,1561504060
52,Mount Isa,AU,-20.73,139.49,57.2,4.7,0,28,1561504096
53,Guerrero Negro,MX,27.97,-114.04,63.79,13.87,31,83,1561504096
54,Khomutovka,RU,51.92,34.56,56.77,3.47,61,89,1561504096
55,Kapaa,US,22.08,-159.32,80.6,14.99,75,78,1561504096
56,Laizhou,CN,37.18,119.93,71.71,13.4,77,75,1561504096
57,Cherskiy,RU,68.75,161.3,75.13,5.84,0,23,1561504096
58,Belaya Gora,RU,68.54,146.19,79.99,12.24,7,25,1561504097
59,Petropavl,KZ,54.87,69.13,64.4,6.71,0,93,1561504097
60,La Rioja,AR,-29.41,-66.86,39.49,6.96,0,28,1561504097
61,Aklavik,CA,68.22,-135.01,48.2,14.99,75,57,1561504097
62,Leningradskiy,RU,69.38,178.42,34.45,15.52,85,89,1561504095
63,Chumphon,TH,10.5,99.18,77.11,4.21,100,91,1561504097
64,Hilo,US,19.71,-155.08,89.01,12.75,20,54,1561504097
65,Luderitz,NA,-26.65,15.16,51.8,13.87,11,87,1561504098
66,Marsh Harbour,BS,26.54,-77.06,85.93,7.16,0,69,1561504098
67,Tuka,HU,47.74,21.04,71.6,4.23,0,83,1561504098
68,Cape Town,ZA,-33.93,18.42,60.01,9.17,0,71,1561503918
69,Lorengau,PG,-2.02,147.27,82.69,6.02,67,79,1561504098
70,Alice Springs,AU,-23.7,133.88,37.4,4.7,0,47,1561504095
71,Arraial do Cabo,BR,-22.97,-42.02,71.6,6.93,0,94,1561504056
72,Pangnirtung,CA,66.15,-65.72,42.8,9.17,40,81,1561504098
73,Port Alfred,ZA,-33.59,26.89,57.99,8.99,70,92,1561504099
74,Kang,BW,-23.67,22.79,53.17,8.86,3,21,1561504099
75,Butaritari,KI,3.07,172.79,84.31,9.69,100,71,1561504099
76,Bredasdorp,ZA,-34.53,20.04,60.8,19.46,80,72,1561504022
77,Requena,ES,39.49,-1.1,73.4,4.7,75,83,1561504099
78,Bluff,AU,-23.58,149.07,65.59,19.82,0,69,1561504026
79,Moranbah,AU,-22.0,148.04,62.71,17.87,6,68,1561504099
80,Papara,BR,-3.98,-38.73,80.6,9.17,20,78,1561504100
81,Rawson,AR,-43.3,-65.11,40.93,13.58,67,55,1561503961
82,Neuquen,AR,-38.95,-68.06,51.8,21.92,0,57,1561504079
83,Oktyabrskoye,RU,56.73,85.44,61.0,2.24,0,87,1561504100
84,Havelock,US,34.88,-76.9,93.2,13.87,1,70,1561504100
85,Teya,MX,21.05,-89.07,96.8,12.75,90,53,1561504100
86,Barrow,AR,-38.31,-60.23,41.29,9.33,27,57,1561504101
87,Meulaboh,ID,4.14,96.13,83.41,7.27,100,66,1561504101
88,Port Hardy,CA,50.7,-127.42,64.4,8.05,40,63,1561503905
89,Mahebourg,MU,-20.41,57.7,73.4,10.29,75,83,1561504101
90,Port Hedland,AU,-20.31,118.58,55.4,6.93,21,47,1561504101
91,Hit,IQ,33.64,42.83,91.69,5.48,0,16,1561504101
92,Tasiilaq,GL,65.61,-37.64,41.0,9.17,20,80,1561504035
93,Chokurdakh,RU,70.62,147.9,75.85,11.56,0,29,1561504037
94,Qaanaaq,GL,77.48,-69.36,35.35,3.4,97,80,1561504102
95,Wasilla,US,61.58,-149.44,73.0,4.7,40,60,1561504102
96,Esperance,TT,10.24,-61.45,84.2,11.41,20,66,1561504069
97,Richards Bay,ZA,-28.77,32.06,66.31,6.71,67,78,1561504102
98,Imbituba,BR,-28.24,-48.67,77.0,6.93,0,61,1561504102
99,Mehamn,NO,71.03,27.85,44.17,22.53,100,90,1561504102
100,Carnarvon,ZA,-30.97,22.13,46.87,14.0,0,32,1561504103
101,Faanui,PF,-16.48,-151.75,79.81,14.45,44,75,1561504103
102,Lavrentiya,RU,65.58,-170.99,50.11,9.89,95,54,1561504103
